title,url,ranking
Finding in the Temple,https://en.wikipedia.org/wiki/Finding_in_the_Temple,226
Flight into Egypt,https://en.wikipedia.org/wiki/Flight_into_Egypt,227
Healing the man blind from birth,https://en.wikipedia.org/wiki/Healing_the_man_blind_from_birth,228
Parables of Jesus,https://en.wikipedia.org/wiki/Parables_of_Jesus,229
Raising of the son of the widow of Nain,https://en.wikipedia.org/wiki/Raising_of_the_son_of_the_widow_of_Nain,230
Simon the Leper,https://en.wikipedia.org/wiki/Simon_the_Leper,231
Young man from Nain,https://en.wikipedia.org/wiki/Young_man_from_Nain,232
City upon a Hill,https://en.wikipedia.org/wiki/City_upon_a_Hill,233
Cleansing ten lepers,https://en.wikipedia.org/wiki/Cleansing_ten_lepers,234
Four Evangelists,https://en.wikipedia.org/wiki/Four_Evangelists,235
Parable of the Two Sons,https://en.wikipedia.org/wiki/Parable_of_the_Two_Sons,236
The Three Marys,https://en.wikipedia.org/wiki/The_Three_Marys,237
Wolf in sheep's clothing,https://en.wikipedia.org/wiki/Wolf_in_sheep%27s_clothing,238
Parable of the Lost Coin,https://en.wikipedia.org/wiki/Parable_of_the_Lost_Coin,239
Parable of the Master and Servant,https://en.wikipedia.org/wiki/Parable_of_the_Master_and_Servant,240
Doubting Thomas,https://en.wikipedia.org/wiki/Doubting_Thomas,241
Parable of the Ten Virgins,https://en.wikipedia.org/wiki/Parable_of_the_Ten_Virgins,242
Healing the two blind men in Galilee,https://en.wikipedia.org/wiki/Healing_the_two_blind_men_in_Galilee,243
Synoptic Gospels,https://en.wikipedia.org/wiki/Synoptic_Gospels,244
The blind leading the blind,https://en.wikipedia.org/wiki/The_blind_leading_the_blind,245
Jesus' true relatives,https://en.wikipedia.org/wiki/Jesus%27_true_relatives,246
Parable of Drawing in the Net,https://en.wikipedia.org/wiki/Parable_of_Drawing_in_the_Net,247
Oral gospel traditions,https://en.wikipedia.org/wiki/Oral_gospel_traditions,248
True Cross,https://en.wikipedia.org/wiki/True_Cross,249
Mara bar Serapion on Jesus,https://en.wikipedia.org/wiki/Mara_bar_Serapion_on_Jesus,250
Pilate stone,https://en.wikipedia.org/wiki/Pilate_stone,251
Tomb of Jesus,https://en.wikipedia.org/wiki/Tomb_of_Jesus,252
Bartholomew the Apostle,https://en.wikipedia.org/wiki/Bartholomew_the_Apostle,253
Mount of Beatitudes,https://en.wikipedia.org/wiki/Mount_of_Beatitudes,254
Parable of a scribe,https://en.wikipedia.org/wiki/Parable_of_a_scribe,255
